x,y
0.000000000000000000e+00,7.980152028674307729e-01
8.163265306122448328e-02,5.695148200493480584e-01
1.632653061224489666e-01,5.164671302955347043e-01
2.448979591836734637e-01,5.123921828582209681e-01
3.265306122448979331e-01,3.259862857600392960e-01
4.081632653061224025e-01,-1.241378861276810908e-01
4.897959183673469274e-01,-1.093790997879552918e-01
5.714285714285713969e-01,-4.032562968065087072e-01
6.530612244897958663e-01,-5.788143377117769273e-01
7.346938775510203357e-01,-6.928638975096481634e-01
8.163265306122448051e-01,-8.563907112849254988e-01
8.979591836734692745e-01,-8.188975803470572856e-01
9.795918367346938549e-01,-9.238599060948710084e-01
1.061224489795918213e+00,-9.531351054234714626e-01
1.142857142857142794e+00,-8.080105953154783638e-01
1.224489795918367152e+00,-6.269016466625496609e-01
1.306122448979591733e+00,-2.478013802294690426e-01
1.387755102040816313e+00,-1.028655900851500604e-01
1.469387755102040671e+00,2.854052508236016861e-01
1.551020408163265252e+00,4.871315034618600714e-01
1.632653061224489610e+00,5.727484388746861832e-01
1.714285714285714191e+00,1.042159046689306479e+00
1.795918367346938549e+00,1.070849654274989904e+00
1.877551020408163129e+00,7.606925236055808170e-01
1.959183673469387710e+00,7.654638742239011640e-01
2.040816326530612290e+00,-9.866191375793004203e-03
2.122448979591836427e+00,-3.004748903006752014e-01
2.204081632653061007e+00,-7.143511540659743808e-01
2.285714285714285587e+00,-7.931333476366194679e-01
2.367346938775510168e+00,-8.407485593989720840e-01
2.448979591836734304e+00,-7.767016911969005788e-01
2.530612244897958885e+00,-3.532409935043951954e-01
2.612244897959183465e+00,3.507009775522887396e-02
2.693877551020408045e+00,4.177533424993444267e-01
2.775510204081632626e+00,9.029419837493958267e-01
2.857142857142856762e+00,9.934190629912037496e-01
2.938775510204081343e+00,8.265624365137873575e-01
3.020408163265305923e+00,3.069073837777426261e-01
3.102040816326530503e+00,-4.447971429392801324e-01
3.183673469387754640e+00,-8.913079563337991118e-01
3.265306122448979220e+00,-1.099943093114443826e+00
3.346938775510203801e+00,-8.770515202206236038e-01
3.428571428571428381e+00,-3.363732857703011225e-01
3.510204081632652962e+00,6.797935053454398080e-01
3.591836734693877098e+00,8.781153614587534628e-01
3.673469387755101678e+00,9.053236174916947654e-01
3.755102040816326259e+00,3.870784027382954129e-01
3.836734693877550839e+00,-1.090825673414331093e-01
3.918367346938775420e+00,-9.612894237119644636e-01
4.000000000000000000e+00,-1.015355558950658876e+00
